Symbol,Company name
GSFC,Gujarat State Fertilizers & Chemicals Limited
GSPL,Gujarat State Petronet Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
GULPOLY,Gulshan Polyols Limited
GVKPIL,GVK Power & Infrastructure Limited
GAL,Gyscoal Alloys Limited
HGINFRA,H.G. Infra Engineering Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
HARITASEAT,Harita Seating Systems Limited
HARRMALAYA,Harrisons Malayalam Limited
HATHWAY,Hathway Cable & Datacom Limited
HATSUN,Hatsun Agro Product Limited
HAVELLS,Havells India Limited
HBSL,HB Stockholdings Limited
HBLPOWER,HBL Power Systems Limited
HCL-INSYS,HCL Infosystems Limited
HCLTECH,HCL Technologies Limited
HDFCAMC,HDFC Asset Management Company Limited
HDFCBANK,HDFC Bank Limited
HDFCLIFE,HDFC Life Insurance Company Limited
HCG,Healthcare Global Enterprises Limited
HECPROJECT,HEC Infra Projects Limited
HEG,HEG Limited
HEIDELBERG,HeidelbergCement India Limited
HERCULES,Hercules Hoists Limited
HERITGFOOD,Heritage Foods Limited
HEROMOTOCO,Hero MotoCorp Limited
HESTERBIO,Hester Biosciences Limited
HEXATRADEX,Hexa Tradex Limited
HEXAWARE,Hexaware Technologies Limited
HFCL,HFCL Limited
HIKAL,Hikal Limited
HIL,HIL Limited
HILTON,Hilton Metal Forging Limited
HSCL,Himadri Speciality Chemical Limited
HIMATSEIDE,Himatsingka Seide Limited
HIRECT,Hind Rectifiers Limited
HINDALCO,Hindalco Industries Limited
HINDCON,Hindcon Chemicals Limited
HPIL,Hindprakash Industries Limited
HGS,Hinduja Global Solutions Limited
HAL,Hindustan Aeronautics Limited
HINDCOMPOS,Hindustan Composites Limited
HCC,Hindustan Construction Company Limited
HINDCOPPER,Hindustan Copper Limited
HMVL,Hindustan Media Ventures Limited
HINDMOTORS,Hindustan Motors Limited
HINDOILEXP,Hindustan Oil Exploration Company Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
HINDUNILVR,Hindustan Unilever Limited
HINDZINC,Hindustan Zinc Limited
HINDNATGLS,Hindustan National Glass & Industries Limited
HISARMETAL,Hisar Metal Industries Limited
HITECHCORP,Hitech Corporation Limited
HITECH,Hi-Tech Pipes Limited
HLVLTD,HLV Limited
HMT,HMT Limited
HONDAPOWER,Honda Siel Power Products Limited
HONAUT,Honeywell Automation India Limited
HOTELRUGBY,Hotel Rugby Limited
HUDCO,Housing & Urban Development Corporation Limited
HDIL,Housing Development and Infrastructure Limited
HDFC,Housing Development Finance Corporation Limited
HOVS,HOV Services Limited
HPL,HPL Electric & Power Limited
HSIL,HSIL Limited
HTMEDIA,HT Media Limited
HUBTOWN,Hubtown Limited
PAPERPROD,Huhtamaki PPL Limited
HUSYSLTD,Husys Consulting Limited
ICEMAKE,Ice Make Refrigeration Limited
ICICIBANK,ICICI Bank Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
ISEC,ICICI Securities Limited
ICRA,ICRA Limited
IDBI,IDBI Bank Limited
IDFCFIRSTB,IDFC First Bank Limited
IDFC,IDFC Limited
IFBAGRO,IFB Agro Industries Limited
IFBIND,IFB Industries Limited
IFCI,IFCI Limited
IFGLEXPOR,IFGL Refractories Limited
IGPL,IG Petrochemicals Limited
IGARASHI,Igarashi Motors India Limited
IIFL,IIFL Finance Limited
IIFLSEC,IIFL Securities Limited
IIFLWAM,IIFL Wealth Management Limited
IL&FSENGG,IL&FS Engineering and Construction Company Limited
IVC,IL&FS Investment Managers Limited
IL&FSTRANS,IL&FS Transportation Networks Limited
INDLMETER,IMP Powers Limited
IMPEXFERRO,Impex Ferro Tech Limited
INDBANK,Indbank Merchant Banking Services Limited
INDIAGLYCO,India Glycols Limited
IMPAL,India Motor Parts and Accessories Limited
INDNIPPON,India Nippon Electricals Limited
ITDC,India Tourism Development Corporation Limited
IBULHSGFIN,Indiabulls Housing Finance Limited
IBULISL,Indiabulls Integrated Services Limited
IBREALEST,Indiabulls Real Estate Limited
IBVENTURES,Indiabulls Ventures Limited
INDIAMART,Indiamart Intermesh Limited
INDIANB,Indian Bank
INDIANCARD,Indian Card Clothing Company Limited
IEX,Indian Energy Exchange Limited
INDIANHUME,Indian Hume Pipe Company Limited
IMFA,Indian Metals & Ferro Alloys Limited
IOC,Indian Oil Corporation Limited
IOB,Indian Overseas Bank
IRCTC,Indian Railway Catering and Tourism Corporation Limited
INDTERRAIN,Indian Terrain Fashions Limited
ICIL,Indo Count Industries Limited
INDORAMA,Indo Rama Synthetics (India) Limited
INDOTECH,Indo Tech Transformers Limited
INDOTHAI,Indo Thai Securities Limited
INDOCO,Indoco Remedies Limited
NIPPOBATRY,Indo-National Limited
INDOSOLAR,Indosolar Limited
INDOSTAR,IndoStar Capital Finance Limited
INDOWIND,Indowind Energy Limited
IGL,Indraprastha Gas Limited
INDRAMEDCO,Indraprastha Medical Corporation Limited
INDSWFTLAB,Ind-Swift Laboratories Limited
INDSWFTLTD,Ind-Swift Limited
INDUSINDBK,IndusInd Bank Limited
IITL,Industrial Investment Trust Limited
INEOSSTYRO,INEOS Styrolution India Limited
INFIBEAM,Infibeam Avenues Limited
NAUKRI,Info Edge (India) Limited
INFOBEAN,InfoBeans Technologies Limited
INFOMEDIA,Infomedia Press Limited
INFY,Infosys Limited
INGERRAND,Ingersoll Rand (India) Limited
INNOVANA,Innovana Thinklabs Limited
INNOVATIVE,Innovative Tyres and Tubes Limited
INOXLEISUR,INOX Leisure Limited
INOXWIND,Inox Wind Limited
INSECTICID,Insecticides (India) Limited
INSPIRISYS,Inspirisys Solutions Limited
INTEGRA,Integra Garments and Textiles Limited
INTELLECT,Intellect Design Arena Limited
INTENTECH,Intense Technologies Limited
INDIGO,InterGlobe Aviation Limited
SUBCAPCITY,International Constructions Limited
ISFT,Intrasoft Technologies Limited
INVENTURE,Inventure Growth & Securities Limited
IOLCP,IOL Chemicals and Pharmaceuticals Limited
IPCALAB,IPCA Laboratories Limited
IRB,IRB Infrastructure Developers Limited
IRCON,Ircon International Limited
IRISDOREME,Iris Clothings Limited
ISMTLTD,ISMT Limited
ITC,ITC Limited
ITDCEM,ITD Cementation India Limited
ITI,ITI Limited
IVP,IVP Limited
IZMO,IZMO Limited
JKIL,J.Kumar Infraprojects Limited
JAGRAN,Jagran Prakashan Limited
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
JAIBALAJI,Jai Balaji Industries Limited
JAICORPLTD,Jai Corp Limited
JAIHINDPRO,Jaihind Projects Limited
JISLJALEQS,Jain Irrigation Systems Limited
JAINSTUDIO,Jain Studios Limited
JPASSOCIAT,Jaiprakash Associates Limited
JPPOWER,Jaiprakash Power Ventures Limited
JAKHARIA,Jakharia Fabric Limited
JALAN,Jalan Transolutions (India) Limited
JAMNAAUTO,Jamna Auto Industries Limited
JASH,Jash Engineering Limited
JAYBARMARU,Jay Bharat Maruti Limited
JAYAGROGN,Jayant Agro Organics Limited
JAYNECOIND,Jayaswal Neco Industries Limited
JPINFRATEC,Jaypee Infratech Limited
JAYSREETEA,Jayshree Tea & Industries Limited
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
JBFIND,JBF Industries Limited
JBMA,JBM Auto Limited
JETAIRWAYS,Jet Airways (India) Limited
JETFREIGHT,Jet Freight Logistics Limited
JETKNIT,Jet Knitwears Limited
JHS,JHS Svendgaard Laboratories Limited
JIKIND,JIK Industries Limited
JINDRILL,Jindal Drilling And Industries Limited
JINDALPHOT,Jindal Photo Limited
JINDALPOLY,Jindal Poly Films Limited
JPOLYINVST,Jindal Poly Investment and Finance Company Limited
JINDALSAW,Jindal Saw Limited
JSLHISAR,Jindal Stainless (Hisar) Limited
JSL,Jindal Stainless Limited
JINDALSTEL,Jindal Steel & Power Limited
JINDWORLD,Jindal Worldwide Limited
JITFINFRA,JITF Infralogistics Limited
JKCEMENT,JK Cement Limited
JKLAKSHMI,JK Lakshmi Cement Limited
JKPAPER,JK Paper Limited
JKTYRE,JK Tyre & Industries Limited
JMFINANCIL,JM Financial Limited
JMCPROJECT,JMC Projects (India) Limited
JMTAUTOLTD,JMT Auto Limited
JOCIL,Jocil Limited
JCHAC,Johnson Controls – Hitachi Air Conditioning India Limited
JSWENERGY,JSW Energy Limited
JSWHL,JSW Holdings Limited
JSWSTEEL,JSW Steel Limited
JTEKTINDIA,Jtekt India Limited
JUBLFOOD,Jubilant Foodworks Limited
JUBLINDS,Jubilant Industries Limited
JUBILANT,Jubilant Life Sciences Limited
JMA,Jullundur Motor Agency (Delhi) Limited
JUSTDIAL,Just Dial Limited
JVLAGRO,JVL Agro Industries Limited
JYOTHYLAB,Jyothy Labs Limited
JYOTISTRUC,Jyoti Structures Limited
KMSUGAR,K.M.Sugar Mills Limited
KPRMILL,K.P.R. Mill Limited
KABRAEXTRU,Kabra Extrusion Technik Limited
KAJARIACER,Kajaria Ceramics Limited
KAKATCEM,Kakatiya Cement Sugar & Industries Limited
KALPATPOWR,Kalpataru Power Transmission Limited
KALYANI,Kalyani Commercials Limited
KALYANIFRG,Kalyani Forge Limited
KICL,Kalyani Investment Company Limited
KSL,Kalyani Steels Limited
KAMATHOTEL,Kamat Hotels (I) Limited
KAMDHENU,Kamdhenu Limited
KANANIIND,Kanani Industries Limited
KANORICHEM,Kanoria Chemicals & Industries Limited
KANSAINER,Kansai Nerolac Paints Limited
KAPSTON,Kapston Facilities Management Limited
KARDA,Karda Constructions Limited
KARMAENG,Karma Energy Limited
KARURVYSYA,Karur Vysya Bank Limited
KGL,Karuturi Global Limited
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
KSCL,Kaveri Seed Company Limited
KAYA,Kaya Limited
KCP,KCP Limited
KCPSUGIND,KCP Sugar and Industries Corporation Limited
KDDL,KDDL Limited
KEC,KEC International Limited
KEERTI,Keerti Knowledge and Skills Limited
KEI,KEI Industries Limited
KELLTONTEC,Kellton Tech Solutions Limited
KERNEX,Kernex Microsystems (India) Limited
KESORAMIND,Kesoram Industries Limited
KKCL,Kewal Kiran Clothing Limited
KEYFINSERV,Keynote Financial Services Limited
KHADIM,Khadim India Limited
KHANDSE,Khandwala Securities Limited
KHFM,Khfm Hospitality And Facility Management Services Limited
KILITCH,Kilitch Drugs (India) Limited
KINGFA,Kingfa Science & Technology (India) Limited
KIOCL,KIOCL Limited
KIRIINDUS,Kiri Industries Limited
KIRLOSBROS,Kirloskar Brothers Limited
KECL,Kirloskar Electric Company Limited
KIRLOSIND,Kirloskar Industries Limited
KIRLOSENG,Kirloskar Oil Engines Limited
KITEX,Kitex Garments Limited
KKVAPOW,KKV Agro Powers Limited
KNRCON,KNR Constructions Limited
KOHINOOR,Kohinoor Foods Limited
KOKUYOCMLN,Kokuyo Camlin Limited
KOLTEPATIL,Kolte – Patil Developers Limited
KOPRAN,Kopran Limited
KOTAKBANK,Kotak Mahindra Bank Limited
KOTHARIPET,Kothari Petrochemicals Limited
KOTHARIPRO,Kothari Products Limited
KOTARISUG,Kothari Sugars And Chemicals Limited
KPITTECH,KPIT Technologies Limited
KRBL,KRBL Limited
KREBSBIO,Krebs Biochemicals and Industries Limited
KRIDHANINF,Kridhan Infra Limited
KRISHANA,Krishana Phoschem Limited
KRITIKA,Kritika Wires Limited
KSB,Ksb Limited
KSHITIJPOL,Kshitij Polyline Limited
KSK,KSK Energy Ventures Limited
KSERASERA,KSS Limited
KUANTUM,Kuantum Papers Limited
KWALITY,Kwality Limited
,
,Company name
L&TFH,L&T Finance Holdings Limited
LTTS,L&T Technology Services Limited
LAOPALA,La Opala RG Limited
LAGNAM,Lagnam Spintex Limited
LFIC,Lakshmi Finance & Industrial Corporation Limited
LAXMIMACH,Lakshmi Machine Works Limited
LAKPRE,Lakshmi Precision Screws Limited
LAKSHVILAS,Lakshmi Vilas Bank Limited
LAMBODHARA,Lambodhara Textiles Limited
LPDC,Landmark Property Development Company Limited
LTI,Larsen & Toubro Infotech Limited
LT,Larsen & Toubro Limited
LASA,Lasa Supergenerics Limited
LATTEYS,Latteys Industries Limited
LAURUSLABS,Laurus Labs Limited
LAXMICOT,Laxmi Cotspin Limited
LEMONTREE,Lemon Tree Hotels Limited
LEXUS,Lexus Granito (India) Limited
LGBBROSLTD,LG Balakrishnan & Bros Limited
LGBFORGE,LGB Forge Limited
LIBAS,Libas Designs Limited
LIBERTSHOE,Liberty Shoes Limited
LICHSGFIN,LIC Housing Finance Limited
LIKHITHA,Likhitha Infrastructure Limited
LINCPEN,Linc Pen & Plastics Limited
LINCOLN,Lincoln Pharmaceuticals Limited
LINDEINDIA,Linde India Limited
LSIL,Lloyds Steels Industries Limited
LOKESHMACH,Lokesh Machines Limited
LOTUSEYE,Lotus Eye Hospital and Institute Limited
LOVABLE,Lovable Lingerie Limited
DAAWAT,LT Foods Limited
LUMAXTECH,Lumax Auto Technologies Limited
LUMAXIND,Lumax Industries Limited
LUPIN,Lupin Limited
LUXIND,Lux Industries Limited
LYKALABS,Lyka Labs Limited
LYPSAGEMS,Lypsa Gems & Jewellery Limited
MKPL,M K Proteins Limited
MRO,M.R. Organisation Limited
MAANALU,Maan Aluminium Limited
MACPOWER,Macpower CNC Machines Limited
MCL,Madhav Copper Limited
MADHAV,Madhav Marbles and Granites Limited
MADHUCON,Madhucon Projects Limited
MBAPL,Madhya Bharat Agro Products Limited
MPTODAY,Madhya Pradesh Today Media Limited
MADRASFERT,Madras Fertilizers Limited
MAGADSUGAR,Magadh Sugar & Energy Limited
MAGMA,Magma Fincorp Limited
MAGNUM,Magnum Ventures Limited
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited
MAHASTEEL,Mahamaya Steel Industries Limited
MGL,Mahanagar Gas Limited
MTNL,Mahanagar Telephone Nigam Limited
MAHSCOOTER,Maharashtra Scooters Limited
MAHSEAMLES,Maharashtra Seamless Limited
MAHESHWARI,Maheshwari Logistics Limited
MAHICKRA,Mahickra Chemicals Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
M&M,Mahindra & Mahindra Limited
MAHINDCIE,Mahindra CIE Automotive Limited
MAHEPC,Mahindra EPC Irrigation Limited
MHRIL,Mahindra Holidays & Resorts India Limited
MAHLIFE,Mahindra Lifespace Developers Limited
MAHLOG,Mahindra Logistics Limited
MAITHANALL,Maithan Alloys Limited
MAJESCO,Majesco Limited
MALUPAPER,Malu Paper Mills Limited
MANINDS,Man Industries (India) Limited
MANINFRA,Man Infraconstruction Limited
MANAKALUCO,Manaksia Aluminium Company Limited
MANAKCOAT,Manaksia Coated Metals & Industries Limited
MANAKSIA,Manaksia Limited
MANAKSTEEL,Manaksia Steels Limited
MANALIPETC,Manali Petrochemicals Limited
MANAPPURAM,Manappuram Finance Limited
MANAV,Manav Infra Projects Limited
MANGLMCEM,Mangalam Cement Limited
MANGALAM,Mangalam Drugs And Organics Limited
MGEL,Mangalam Global Enterprise Limited
MANGTIMBER,Mangalam Timber Products Limited
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
MRPL,Mangalore Refinery and Petrochemicals Limited
MANUGRAPH,Manugraph India Limited
MARALOVER,Maral Overseas Limited
MARATHON,Marathon Nextgen Realty Limited
MARICO,Marico Limited
MARINE,Marine Electricals (India) Limited
MARKSANS,Marksans Pharma Limited
MARSHALL,Marshall Machines Limited
MARUTI,Maruti Suzuki India Limited
MDL,Marvel Decor Limited
MASFIN,MAS Financial Services Limited
MASKINVEST,Mask Investments Limited
MASTEK,Mastek Limited
MATRIMONY,Matrimony.com Limited
MAWANASUG,Mawana Sugars Limited
MFSL,Max Financial Services Limited
MAXHEALTH,Max Healthcare Institute Limited
MAXINDIA,Max India Limited
MAXVIL,Max Ventures and Industries Limited
MAYURUNIQ,Mayur Uniquoters Ltd
MAZDOCK,Mazagon Dock Shipbuilders Limited
MAZDA,Mazda Limited
MBLINFRA,MBL Infrastructures Limited
MCDHOLDING,McDowell Holdings Limited
MCLEODRUSS,Mcleod Russel India Limited
MBECL,Mcnally Bharat Engineering Company Limited
MEGASOFT,Megasoft Limited
MEGH,Meghmani Organics Limited
MELSTAR,Melstar Information Technologies Limited
MENONBE,Menon Bearings Limited
MEP,MEP Infrastructure Developers Limited
MERCATOR,Mercator Limited
METALFORGE,Metalyst Forgings Limited
METKORE,Metkore Alloys & Industries Limited
METROPOLIS,Metropolis Healthcare Limited
MIC,MIC Electronics Limited
MMNL,MIG Media Neurons Limited
MILTON,Milton Industries Limited
MINDACORP,Minda Corporation Limited
MINDAIND,Minda Industries Limited
MINDPOOL,Mindpool Technologies Limited
MINDTECK,Mindteck (India) Limited
MINDTREE,MindTree Limited
MIRCELECTR,MIRC Electronics Limited
MIRZAINT,Mirza International Limited
MIDHANI,Mishra Dhatu Nigam Limited
MITCON,MITCON Consultancy & Engineering Services Limited
MITTAL,Mittal Life Style Limited
MMFL,MM Forgings Limited
MMP,MMP Industries Limited
MMTC,MMTC Limited
MODIRUBBER,Modi Rubber Limited
MHHL,Mohini Health & Hygiene Limited
MOHITIND,Mohit Industries Limited
MOHOTAIND,Mohota Industries Limited
MOIL,MOIL Limited
MOKSH,Moksh Ornaments Limited
MOLDTKPAC,Mold-Tek Packaging Limited
MOLDTECH,Mold-Tek Technologies Limited
AIONJSW,Monnet Ispat & Energy Limited
MONTECARLO,Monte Carlo Fashions Limited
MORARJEE,Morarjee Textiles Limited
MOREPENLAB,Morepen Laboratories Limited
MOTHERSUMI,Motherson Sumi Systems Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
MPHASIS,MphasiS Limited
MPSLTD,MPS Limited
MRF,MRF Limited
MRO-TEK,MRO-TEK Realty Limited
MSPL,MSP Steel & Power Limited
MSTCLTD,MSTC Limited
MTEDUCARE,MT Educare Limited
MUKANDENGG,Mukand Engineers Limited
MUKANDLTD,Mukand Limited
MUKTAARTS,Mukta Arts Limited
MUNJALAU,Munjal Auto Industries Limited
MUNJALSHOW,Munjal Showa Limited
MURUDCERA,Murudeshwar Ceramics Limited
RADIOCITY,Music Broadcast Limited
MUTHOOTCAP,Muthoot Capital Services Limited
MUTHOOTFIN,Muthoot Finance Limited
,
,Company name
NRAIL,N R Agarwal Industries Limited
NBIFIN,N. B. I. Industrial Finance Company Limited
NACLIND,NACL Industries Limited
NDGL,Naga Dhunseri Group Limited
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NAGREEKEXP,Nagreeka Exports Limited
NAHARCAP,Nahar Capital and Financial Services Limited
NAHARINDUS,Nahar Industrial Enterprises Limited
NAHARPOLY,Nahar Poly Films Limited
NAHARSPING,Nahar Spinning Mills Limited
NSIL,Nalwa Sons Investments Limited
NDL,Nandan Denim Limited
NANDANI,Nandani Creation Limited
NH,Narayana Hrudayalaya Ltd.
NARMADA,Narmada Agrobase Limited
NATCOPHARM,Natco Pharma Limited
NATHBIOGEN,Nath Bio-Genes (India) Limited
NATIONALUM,National Aluminium Company Limited
NFL,National Fertilizers Limited
NATNLSTEEL,National Steel And Agro Industries Limited
NBVENTURES,Nava Bharat Ventures Limited
NAVINFLUOR,Navin Fluorine International Limited
NAVKARCORP,Navkar Corporation Limited
NAVNETEDUL,Navneet Education Limited
NBCC,NBCC (India) Limited
NCC,NCC Limited
NCLIND,NCL Industries Limited
NECLIFE,Nectar Lifesciences Limited
NELCAST,Nelcast Limited
NELCO,NELCO Limited
NEOGEN,Neogen Chemicals Limited
NESCO,Nesco Limited
NETWORK18,Network18 Media & Investments Limited
NTL,Neueon Towers Limited
NEULANDLAB,Neuland Laboratories Limited
NDTV,New Delhi Television Limited
NEWGEN,Newgen Software Technologies Limited
NEXTMEDIA,Next Mediaworks Limited
NHPC,NHPC Limited
NIITLTD,NIIT Limited
NILAINFRA,Nila Infrastructures Limited
NILASPACES,Nila Spaces Limited
NILKAMAL,Nilkamal Limited
NAM-INDIA,Nippon Life India Asset Management Limited
NIRAJISPAT,Niraj Ispat Industries Limited
NITCO,Nitco Limited
NITINFIRE,Nitin Fire Protection Industries Limited
NITINSPIN,Nitin Spinners Limited
NITIRAJ,Nitiraj Engineers Limited
NKIND,NK Industries Limited
NLCINDIA,NLC India Limited
NMDC,NMDC Limited
NOCIL,NOCIL Limited
NOIDATOLL,Noida Toll Bridge Company Limited
NORBTEAEXP,Norben Tea & Exports Limited
NECCLTD,North Eastern Carrying Corporation Limited
NRBBEARING,NRB Bearing Limited
NIBL,NRB Industrial Bearings Limited
NTPC,NTPC Limited
NUCLEUS,Nucleus Software Exports Limited
NXTDIGITAL,NXTDigital Limited
OBEROIRLTY,Oberoi Realty Limited
OISL,OCL Iron and Steel Limited
ONGC,Oil & Natural Gas Corporation Limited
OILCOUNTUB,Oil Country Tubular Limited
OIL,Oil India Limited
OLECTRA,Olectra Greentech Limited
OMMETALS,OM Metals Infraprojects Limited
OMAXAUTO,Omax Autos Limited
OMAXE,Omaxe Limited
OMFURN,Omfurn India Limited
OMKARCHEM,Omkar Speciality Chemicals Limited
ONEPOINT,One Point One Solutions Limited
ONELIFECAP,Onelife Capital Advisors Limited
ONMOBILE,OnMobile Global Limited
ONWARDTEC,Onward Technologies Limited
OPAL,Opal Luxury Time Products Limited
OPTIEMUS,Optiemus Infracom Limited
OPTOCIRCUI,Opto Circuits (India) Limited
OFSS,Oracle Financial Services Software Limited
ORBTEXP,Orbit Exports Limited
ORCHIDPHAR,Orchid Pharma Limited
ORICONENT,Oricon Enterprises Limited
ORIENTABRA,Orient Abrasives Limited
ORIENTBELL,Orient Bell Limited
ORIENTCEM,Orient Cement Limited
ORIENTELEC,Orient Electric Limited
GREENPOWER,Orient Green Power Company Limited
ORIENTPPR,Orient Paper & Industries Limited
ORIENTLTD,Orient Press Limited
ORIENTREF,Orient Refractories Limited
OAL,Oriental Aromatics Limited
OCCL,Oriental Carbon & Chemicals Limited
ORIENTHOT,Oriental Hotels Limited
ORIENTALTL,Oriental Trimex Limited
ORTEL,Ortel Communications Limited
ORTINLABSS,Ortin Laboratories Limited
OSIAHYPER,Osia Hyper Retail Limited
OSWALAGRO,Oswal Agro Mills Limited
BINDALAGRO,Oswal Chemicals & Fertilizers Limited
PAEL,PAE Limited
PAGEIND,Page Industries Limited
PAISALO,Paisalo Digital Limited
PALASHSECU,Palash Securities Limited
PALREDTEC,Palred Technologies Limited
PANACEABIO,Panacea Biotec Limited
PANACHE,Panache Digilife Limited
PANAMAPET,Panama Petrochem Limited
PANSARI,Pansari Developers Limited
PAR,Par Drugs and Chemicals Limited
PARABDRUGS,Parabolic Drugs Limited
PARAGMILK,Parag Milk Foods Limited
PARACABLES,Paramount Communications Limited
PARIN,Parin Furniture Limited
PARSVNATH,Parsvnath Developers Limited
PASHUPATI,Pashupati Cotspin Limited
PATELENG,Patel Engineering Limited
PATINTLOG,Patel Integrated Logistics Limited
PATSPINLTD,Patspin India Limited
PCJEWELLER,PC Jeweller Limited
PDSMFL,PDS Multinational Fashions Limited
PGIL,Pearl Global Industries Limited
PEARLPOLY,Pearl Polymers Limited
PENINLAND,Peninsula Land Limited
PENIND,Pennar Industries Limited
PENTAGOLD,Penta Gold Limited
PERFECT,Perfect Infraengineers Limited
PERSISTENT,Persistent Systems Limited
PETRONET,Petronet LNG Limited
PFIZER,Pfizer Limited
PGEL,PG Electroplast Limited
PHILIPCARB,Phillips Carbon Black Limited
PIIND,PI Industries Limited
PIDILITIND,Pidilite Industries Limited
PILITA,Pil Italica Lifestyle Limited
PILANIINVS,Pilani Investment and Industries Corporation Limited
PIONDIST,Pioneer Distilleries Limited
PIONEEREMB,Pioneer Embroideries Limited
PEL,Piramal Enterprises Limited
PITTIENG,Pitti Engineering Limited
PLASTIBLEN,Plastiblends India Limited
PNBGILTS,PNB Gilts Limited
PNBHOUSING,PNB Housing Finance Limited
PNCINFRA,PNC Infratech Limited
PODDARHOUS,Poddar Housing and Development Limited
PODDARMENT,Poddar Pigments Limited
POKARNA,Pokarna Limited
POLYMED,Poly Medicure Limited
POLYCAB,Polycab India Limited
POLYPLEX,Polyplex Corporation Limited
PONNIERODE,Ponni Sugars (Erode) Limited
